iter	RMSE
0	14.42577866
1	13.97928846
2	13.53576426
3	13.12154873
4	12.72952943
5	12.42826819
6	12.07388406
7	11.74114392
8	11.44069124
9	11.10133993
10	10.81567813
11	10.54100052
12	10.24694784
13	10.00799142
14	9.748788212
15	9.509661374
16	9.287069757
17	9.055674616
18	8.845841736
19	8.6504898
20	8.48839483
21	8.320754648
22	8.144244991
23	7.974783207
24	7.822859585
25	7.683334582
26	7.55238544
27	7.440584034
28	7.340607009
29	7.23711805
30	7.13076708
31	7.032459961
32	6.938161143
33	6.836717497
34	6.74507741
35	6.664778526
36	6.588137012
37	6.513666892
38	6.446345922
39	6.378216208
40	6.315776334
41	6.262243376
42	6.199918228
43	6.149859275
44	6.095636355
45	6.047440173
46	5.997907985
47	5.95533659
48	5.908039433
49	5.873193292
50	5.833019506
51	5.795994808
52	5.757182472
53	5.726943524
54	5.699025548
55	5.667500786
56	5.639353684
57	5.613332503
58	5.587160381
59	5.563966182
60	5.54077138
61	5.516298445
62	5.497441267
63	5.472555246
64	5.453853059
65	5.433580168
66	5.420303729
67	5.399028948
68	5.387046497
69	5.372164916
70	5.356004291
71	5.333815425
72	5.321764936
73	5.3086378
74	5.297248468
75	5.279733475
76	5.267457628
77	5.253550297
78	5.243303836
79	5.231898428
80	5.227596676
81	5.214993098
82	5.203633391
83	5.193406322
84	5.184111141
85	5.175240021
86	5.166298783
87	5.158264466
88	5.149039825
89	5.140608359
90	5.13259554
91	5.119557698
92	5.113801577
93	5.107945158
94	5.103430133
95	5.092848218
96	5.082925782
97	5.076569035
98	5.071985795
99	5.061020169
100	5.055443942
101	5.045629278
102	5.038676962
103	5.031822363
104	5.02665924
105	5.018627926
106	5.012652398
107	5.007193137
108	5.00167448
109	4.99400482
110	4.989341552
111	4.984356433
112	4.979798714
113	4.973662882
114	4.969042556
115	4.965106478
116	4.964267492
117	4.953336385
118	4.94975067
119	4.94123207
120	4.935581071
121	4.9303126
122	4.9226963
123	4.918324066
124	4.911283269
125	4.907825343
126	4.898881619
127	4.894182434
128	4.886014788
129	4.882571197
130	4.873636417
131	4.86801594
132	4.85938955
133	4.85304749
134	4.846652695
135	4.843917919
136	4.836291061
137	4.83001022
138	4.82481109
139	4.817443784
140	4.812464315
141	4.807385064
142	4.801731083
143	4.797780449
144	4.790197302
145	4.781769369
146	4.779457775
147	4.771660213
148	4.766878259
149	4.764004379
150	4.763212997
151	4.759624129
152	4.755258476
153	4.751860775
154	4.747986638
155	4.744360882
156	4.742462091
157	4.735866878
158	4.732400164
159	4.726112491
160	4.722893117
161	4.719800123
162	4.715430945
163	4.709555739
164	4.705070867
165	4.700867565
166	4.698333977
167	4.693589795
168	4.689961846
169	4.682478384
170	4.679387344
171	4.67367783
172	4.667536991
173	4.663555595
174	4.659034754
175	4.657238122
176	4.651235486
177	4.645920237
178	4.64280167
179	4.639941833
180	4.637368944
181	4.632827716
182	4.629447664
183	4.628536055
184	4.625260249
185	4.621877634
186	4.619056759
187	4.614354948
188	4.608957438
189	4.606874964
190	4.600465104
191	4.594023863
192	4.593554765
193	4.586798441
194	4.58192312
195	4.57595713
196	4.574029563
197	4.57107825
198	4.568528458
199	4.560864388
