iter	Passed	Remaining
0	142	142307
1	143	71381
2	143	47730
3	144	35898
4	144	28802
5	145	24059
6	145	20670
7	146	18128
8	146	16149
9	147	14557
10	147	13263
11	148	12186
12	148	11274
13	148	10492
14	149	9813
15	149	9220
16	150	8696
17	150	8230
18	151	7814
19	151	7439
20	152	7099
21	152	6791
22	153	6509
23	153	6251
24	154	6014
25	154	5795
26	155	5591
27	155	5402
28	156	5227
29	156	5063
30	157	4910
31	157	4766
32	158	4631
33	158	4504
34	159	4385
35	159	4274
36	160	4169
37	160	4069
38	161	3975
39	161	3885
40	162	3800
41	163	3719
42	163	3643
43	164	3570
44	165	3501
45	165	3435
46	166	3371
47	166	3310
48	167	3252
49	168	3198
50	169	3145
51	169	3094
52	170	3045
53	171	2999
54	171	2953
55	172	2908
56	173	2865
57	173	2823
58	174	2783
59	175	2744
60	175	2707
61	176	2670
62	177	2635
63	177	2600
64	178	2567
65	179	2536
66	179	2504
67	180	2474
68	181	2447
69	182	2418
70	182	2390
71	183	2363
72	184	2337
73	184	2312
74	185	2288
75	186	2263
76	186	2240
77	187	2216
78	188	2193
79	188	2171
80	189	2146
81	189	2125
82	190	2104
83	191	2084
84	191	2063
85	192	2043
86	192	2025
87	193	2007
88	194	1989
89	195	1972
90	195	1954
91	196	1937
92	196	1921
93	197	1905
94	198	1889
95	198	1873
96	199	1858
97	200	1843
98	200	1828
99	201	1814
100	202	1800
101	202	1786
102	203	1773
103	204	1759
104	204	1746
105	205	1733
106	206	1720
107	206	1707
108	207	1694
109	207	1682
110	208	1670
111	209	1659
112	209	1648
113	210	1636
114	211	1625
115	211	1614
116	212	1603
117	213	1593
118	213	1582
119	214	1572
120	215	1562
121	215	1552
122	216	1543
123	217	1533
124	217	1523
125	218	1514
126	218	1505
127	219	1496
128	220	1487
129	220	1478
130	221	1469
131	222	1460
132	222	1452
133	223	1444
134	224	1435
135	224	1427
136	225	1419
137	225	1411
138	226	1403
139	227	1395
140	227	1388
141	228	1380
142	229	1373
143	229	1365
144	230	1358
145	231	1351
146	231	1344
147	232	1337
148	232	1330
149	233	1323
150	234	1317
151	234	1310
152	235	1303
153	236	1297
154	236	1290
155	237	1284
156	238	1278
157	238	1271
158	239	1265
159	239	1259
160	240	1253
161	241	1248
162	241	1242
163	242	1236
164	243	1230
165	243	1225
166	244	1219
167	245	1213
168	245	1208
169	246	1203
170	247	1197
171	247	1192
172	248	1187
173	249	1182
174	249	1177
175	250	1172
176	251	1167
177	251	1162
178	252	1157
179	252	1152
180	253	1147
181	254	1142
182	255	1138
183	255	1133
184	256	1129
185	256	1124
186	257	1119
187	258	1115
188	258	1110
189	259	1106
190	260	1102
191	260	1097
192	261	1093
193	262	1089
194	262	1085
195	263	1081
196	264	1076
197	264	1072
198	265	1068
199	266	1064
200	266	1060
201	267	1056
202	268	1053
203	268	1049
204	269	1045
205	270	1041
206	270	1037
207	271	1033
208	272	1029
209	272	1025
210	273	1022
211	274	1018
212	274	1014
213	275	1010
214	275	1007
215	276	1003
216	277	999
217	277	996
218	278	993
219	279	989
220	280	986
221	280	983
222	281	980
223	282	977
224	282	974
225	283	971
226	284	968
227	285	965
228	286	963
229	286	959
230	287	956
231	288	953
232	288	950
233	289	947
234	290	944
235	290	941
236	291	938
237	292	935
238	292	932
239	293	930
240	294	928
241	295	925
242	296	923
243	297	920
244	297	917
245	298	914
246	299	911
247	299	909
248	300	906
249	301	903
250	301	900
251	302	897
252	303	894
253	303	891
254	304	888
255	304	886
256	305	883
257	306	880
258	307	878
259	307	876
260	308	873
261	309	870
262	309	868
263	310	865
264	311	862
265	311	860
266	312	858
267	313	855
268	313	853
269	314	850
270	315	848
271	315	845
272	316	843
273	317	840
274	317	838
275	318	835
276	319	833
277	319	830
278	320	828
279	321	825
280	321	823
281	322	820
282	323	818
283	323	816
284	324	813
285	325	811
286	325	809
287	326	806
288	326	804
289	327	801
290	328	799
291	328	796
292	329	794
293	329	792
294	330	789
295	331	787
296	331	785
297	332	783
298	333	780
299	333	778
300	334	776
301	335	774
302	335	772
303	336	770
304	337	768
305	337	766
306	338	763
307	339	761
308	339	759
309	340	757
310	340	755
311	341	753
312	342	751
313	342	749
314	343	747
315	344	744
316	344	742
317	345	740
318	346	738
319	346	736
320	347	734
321	348	732
322	348	730
323	349	729
324	350	727
325	350	725
326	351	723
327	352	721
328	352	719
329	353	717
330	354	716
331	354	714
332	355	712
333	356	710
334	356	708
335	357	706
336	358	704
337	358	703
338	359	701
339	360	699
340	360	697
341	361	695
342	362	693
343	363	692
344	363	690
345	364	688
346	365	687
347	365	685
348	366	683
349	367	682
350	368	680
351	369	679
352	369	677
353	370	676
354	371	674
355	372	673
356	372	671
357	373	669
358	374	668
359	374	666
360	375	664
361	376	663
362	377	661
363	377	660
364	378	658
365	379	656
366	379	655
367	380	653
368	381	652
369	381	650
370	382	648
371	383	647
372	384	645
373	384	643
374	385	642
375	386	640
376	386	639
377	387	637
378	388	635
379	388	634
380	389	632
381	390	631
382	390	629
383	391	627
384	392	626
385	392	624
386	393	623
387	394	621
388	394	620
389	395	618
390	396	616
391	396	615
392	397	613
393	398	612
394	398	610
395	399	609
396	400	607
397	400	606
398	401	604
399	401	602
400	402	601
401	403	599
402	403	598
403	404	596
404	405	595
405	405	593
406	406	592
407	407	590
408	407	589
409	408	587
410	409	586
411	409	584
412	410	583
413	411	581
414	411	580
415	412	579
416	413	577
417	413	576
418	414	574
419	415	573
420	415	571
421	416	570
422	417	569
423	417	567
424	418	566
425	419	564
426	420	563
427	420	562
428	421	560
429	422	559
430	422	558
431	423	556
432	424	555
433	424	554
434	425	552
435	426	551
436	426	549
437	427	548
438	428	547
439	428	545
440	429	544
441	430	543
442	430	541
443	431	540
444	432	539
445	433	537
446	433	536
447	434	535
448	435	533
449	435	532
450	436	531
451	437	529
452	437	528
453	438	527
454	439	526
455	439	524
456	440	523
457	441	522
458	442	521
459	442	519
460	443	518
461	444	517
462	444	515
463	445	514
464	446	513
465	447	512
466	447	510
467	448	509
468	449	508
469	449	507
470	450	505
471	451	504
472	451	503
473	452	502
474	453	500
475	453	499
476	454	498
477	455	497
478	455	495
479	456	494
480	457	493
481	457	492
482	458	490
483	459	489
484	459	488
485	460	487
486	461	486
487	462	485
488	463	484
489	464	483
490	464	482
491	465	480
492	466	479
493	467	478
494	468	477
495	468	476
496	469	475
497	470	473
498	470	472
499	471	471
500	472	470
501	472	469
502	473	467
503	474	466
504	475	465
505	475	464
506	476	463
507	477	462
508	477	460
509	478	459
510	479	458
511	479	457
512	480	456
513	481	455
514	481	453
515	482	452
516	483	451
517	483	450
518	484	449
519	485	448
520	486	446
521	486	445
522	487	444
523	488	443
524	488	442
525	489	441
526	490	440
527	491	438
528	491	437
529	492	436
530	493	435
531	493	434
532	494	433
533	495	432
534	495	430
535	496	429
536	497	428
537	497	427
538	498	426
539	499	425
540	499	424
541	500	422
542	501	421
543	501	420
544	502	419
545	503	418
546	503	417
547	504	416
548	505	415
549	505	413
550	506	412
551	507	411
552	508	410
553	508	409
554	509	408
555	510	407
556	510	406
557	511	405
558	512	404
559	513	403
560	513	402
