iter	Passed	Remaining
0	0	652
1	1	588
2	1	564
3	2	544
4	2	531
5	3	519
6	3	515
7	4	516
8	4	514
9	5	502
10	5	502
11	6	501
12	6	501
13	7	505
14	7	504
15	8	506
16	8	508
17	9	510
18	9	512
19	10	516
20	11	519
21	11	522
22	12	525
23	12	527
24	13	531
25	14	533
26	14	537
27	15	540
28	16	543
29	16	544
30	17	545
31	18	546
32	18	547
33	19	549
34	20	552
35	20	556
36	21	559
37	22	561
38	22	562
39	23	565
40	24	567
41	24	568
42	25	569
43	26	570
44	26	572
45	27	575
46	28	577
47	29	578
48	29	579
49	30	580
50	31	581
51	31	582
52	32	583
53	33	584
54	34	586
55	34	587
56	35	588
57	36	589
58	36	589
59	37	589
60	38	592
61	39	592
62	39	593
63	40	593
64	41	596
65	42	596
66	42	597
67	43	598
68	44	598
69	45	598
70	45	597
71	46	597
72	46	596
73	47	596
74	48	596
75	49	596
76	49	597
77	50	598
78	51	597
79	51	597
80	52	597
81	53	597
82	54	597
83	54	597
84	55	596
85	56	597
86	56	597
87	57	597
88	58	596
89	59	596
90	59	596
91	60	596
92	61	596
93	61	595
94	62	595
95	63	594
96	63	593
97	64	593
98	65	593
99	65	593
100	66	592
101	67	592
102	67	592
103	68	591
104	69	592
105	70	592
106	70	591
107	71	591
108	72	591
109	72	590
110	73	590
111	74	589
112	74	588
113	75	587
114	76	587
115	76	586
116	77	585
117	78	585
118	79	584
119	79	584
120	80	581
121	80	580
122	81	579
123	81	579
124	82	578
125	83	577
126	83	577
127	84	577
128	85	576
129	86	575
130	86	575
131	87	574
132	88	574
133	88	573
134	89	573
135	90	572
136	90	572
137	91	571
138	92	570
139	92	570
140	93	569
141	94	569
142	94	567
143	95	567
144	96	567
145	96	566
146	97	566
147	98	565
148	98	564
149	99	564
150	100	564
151	101	563
152	101	563
153	102	562
154	103	562
155	103	561
156	104	560
157	105	560
158	105	559
159	106	559
160	107	559
161	107	558
162	108	558
163	109	557
164	110	557
165	110	556
166	111	556
167	112	555
168	112	555
169	113	554
170	114	554
171	115	554
172	116	554
173	116	554
174	117	553
175	118	553
176	118	552
177	119	552
178	120	551
179	121	551
180	121	550
181	122	550
182	123	549
183	123	549
184	124	548
185	125	548
186	125	547
187	126	546
188	127	546
189	128	546
190	128	545
191	129	545
192	130	544
193	131	545
194	132	545
195	132	544
196	133	543
197	134	543
198	134	543
199	135	543
200	136	542
201	137	542
202	137	541
203	138	541
204	139	541
205	140	540
206	141	540
207	141	539
208	142	539
209	143	539
210	144	538
211	144	537
212	145	537
213	146	538
214	147	539
215	148	538
216	149	539
217	150	539
218	150	538
219	151	537
220	152	537
221	153	536
222	153	536
223	154	535
224	155	535
225	156	534
226	156	534
227	157	533
228	158	533
229	159	532
230	159	532
231	160	531
232	161	530
233	161	530
234	162	529
235	163	528
236	164	528
237	164	527
238	165	526
239	166	526
240	166	525
241	167	524
242	168	524
243	169	523
244	169	523
245	170	522
246	171	522
247	171	521
248	172	520
249	173	520
250	174	519
251	174	519
252	175	518
253	176	517
254	176	516
255	177	515
256	178	515
257	179	514
258	179	514
259	180	513
260	180	512
261	181	511
262	182	510
263	183	510
264	183	509
265	184	508
266	185	507
267	185	506
268	186	506
269	186	505
270	187	504
271	188	503
272	188	503
273	189	502
274	190	501
275	190	500
276	191	500
277	192	499
278	193	498
279	193	498
280	194	497
281	195	496
